kingdom,phylum,class,order,family,genus,species,iucn_redlist_id,iucn_redlist_category,common_name_en,common_name_fr,common_name_sp,country_distribution
Animalia,Chordata,Aves,Passeriformes,Passerellidae,Arremon,franciscanus,22728418,NT,"Sao Francisco Sparrow",,,"[""BRA""]"
Animalia,Chordata,Aves,Passeriformes,Furnariidae,Asthenes,luizae,22702514,NT,"Cipo Canastero",,,"[""BRA""]"
Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Augastes,lumachella,22688069,NT,"Hooded Visorbearer",,"Colibrí Lumaquela","[""BRA""]"
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteogallus,aequinoctialis,22695808,NT,"Rufous Crab Hawk",,,"[""BRA"",""GUF"",""GUY"",""SUR"",""TTO"",""VEN""]"
Animalia,Chordata,Aves,Passeriformes,Cotingidae,Carpornis,cucullata,22700725,NT,"Hooded Berryeater",,,"[""BRA""]"
Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Caryothraustes,erythromelas,22723843,NT,"Red And Black Grosbeak",,,"[""BRA"",""GUF"",""GUY"",""SUR"",""VEN""]"
Animalia,Chordata,Aves,Piciformes,Picidae,Celeus,torquatus,22726469,NT,"Ringed Woodpecker",,,"[""BRA"",""GUF"",""GUY"",""SUR"",""VEN""]"
Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Cercomacra,brasiliana,22701666,NT,"Rio De Janeiro Antbird",,,"[""BRA""]"
Animalia,Chordata,Aves,Passeriformes,Turdidae,Cichlopsis,gularis,103881097,NT,,,,"[""BRA"",""GUY"",""SUR"",""VEN""]"
Animalia,Chordata,Aves,Passeriformes,Furnariidae,Cinclodes,pabsti,22702085,NT,"Long Tailed Cinclodes",,,"[""BRA""]"
Animalia,Chordata,Aves,Passeriformes,Thraupidae,Conirostrum,bicolor,22722089,NT,"Bicolored Conebill",,,"[""BRA"",""COL"",""ECU"",""GUF"",""GUY"",""PER"",""SUR"",""TTO"",""VEN""]"
Animalia,Chordata,Aves,Struthioniformes,Tinamidae,Crypturellus,duidae,22678213,NT,"Gray Legged Tinamou",,,"[""BRA"",""COL"",""PER"",""VEN""]"
Animalia,Chordata,Aves,Struthioniformes,Tinamidae,Crypturellus,noctivagus,22678217,NT,"Yellow Legged Tinamou",,,"[""BRA""]"
Animalia,Chordata,Aves,Passeriformes,Corvidae,Cyanocorax,hafferi,103728087,NT,,,,"[""BRA""]"
Animalia,Chordata,Aves,Passeriformes,Thraupidae,Dacnis,nigripes,22722985,NT,"Black Legged Dacnis",,,"[""BRA""]"
Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Drymophila,ochropyga,22701623,NT,"Ochre Rumped Antbird",,,"[""BRA""]"
Animalia,Chordata,Aves,Passeriformes,Rhinocryptidae,Eleoscytalopus,indigoticus,22703546,NT,"White Breasted Tapaculo",,,"[""BRA""]"
Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Epinecrophylla,gutturalis,22701466,NT,"Brown Bellied Antwren",,,"[""BRA"",""GUF"",""GUY"",""SUR"",""VEN""]"
Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Formicivora,iheringi,22701592,NT,"Narrow Billed Antwren",,,"[""BRA""]"
Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Hemitriccus,cohnhafti,103680575,NT,,,,"[""BRA""]"
Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Hemitriccus,orbitatus,22698907,NT,"Eye Ringed Tody Tyrant",,,"[""BRA""]"
Animalia,Chordata,Aves,Passeriformes,Grallariidae,Hylopezus,ochroleucus,22703349,NT,"White Browed Antpitta",,,"[""BRA""]"
